  Method         n  total_time_s  samples_per_second  time_per_sample_s_per_n
  Python       100      0.000029        3.395586e+06             2.945000e-07
  Python      1000      0.000295        3.384620e+06             2.954541e-07
  Python     10000      0.002698        3.705940e+06             2.698371e-07
  Python    100000      0.025689        3.892674e+06             2.568928e-07
  Python   1000000      0.258144        3.873812e+06             2.581436e-07
  Python  10000000      2.732643        3.659461e+06             2.732643e-07
  Python 100000000     26.962217        3.708894e+06             2.696222e-07
   NumPy       100      0.000018        5.474473e+06             1.826660e-07
   NumPy      1000      0.000112        8.957893e+06             1.116334e-07
   NumPy     10000      0.001235        8.096621e+06             1.235083e-07
   NumPy    100000      0.001876        5.329899e+07             1.876208e-08
   NumPy   1000000      0.010986        9.102183e+07             1.098638e-08
   NumPy  10000000      0.081851        1.221735e+08             8.185084e-09
   NumPy 100000000      0.996450        1.003563e+08             9.964501e-09
   Numba       100      0.000001        7.142862e+07             1.399999e-08
   Numba      1000      0.000010        1.022139e+08             9.783404e-09
   Numba     10000      0.000103        9.718173e+07             1.029000e-08
   Numba    100000      0.000932        1.073537e+08             9.315000e-09
   Numba   1000000      0.009060        1.103812e+08             9.059517e-09
   Numba  10000000      0.093495        1.069573e+08             9.349528e-09
   Numba 100000000      0.904550        1.105522e+08             9.045499e-09
Parallel       100      0.000066        1.524195e+06             6.560840e-07
Parallel      1000      0.000055        1.812146e+07             5.518320e-08
Parallel     10000      0.000061        1.639791e+08             6.098340e-09
Parallel    100000      0.000141        7.098492e+08             1.408750e-09
Parallel   1000000      0.001168        8.561887e+08             1.167967e-09
Parallel  10000000      0.009499        1.052741e+09             9.499017e-10
Parallel 100000000      0.084755        1.179878e+09             8.475452e-10
     C++       100      0.005057        1.977600e+04             5.056633e-05
     C++      1000      0.004983        2.006682e+05             4.983350e-06
     C++     10000      0.004715        2.120895e+06             4.714992e-07
     C++    100000      0.005511        1.814627e+07             5.510775e-08
     C++   1000000      0.014576        6.860652e+07             1.457588e-08
     C++  10000000      0.100036        9.996361e+07             1.000364e-08
     C++ 100000000      0.929646        1.075679e+08             9.296456e-09
  Cython       100      0.000002        6.060603e+07             1.650001e-08
  Cython      1000      0.000014        6.972723e+07             1.434160e-08
  Cython     10000      0.000142        7.026173e+07             1.423250e-08
  Cython    100000      0.001533        6.524825e+07             1.532608e-08
  Cython   1000000      0.013578        7.364828e+07             1.357805e-08
  Cython  10000000      0.134065        7.459046e+07             1.340654e-08
  Cython 100000000      1.317479        7.590256e+07             1.317479e-08
