N,Run,Runtime(seconds)
128,1,.163636000
128,2,.167144000
128,3,.153888000
128,4,.176011000
128,5,.175993000
256,1,.207500000
256,2,.167151000
256,3,.184491000
256,4,.192182000
256,5,.195380000
512,1,.465937000
512,2,.382993000
512,3,.314877000
512,4,.246300000
512,5,.254175000
1024,1,.570316000
1024,2,.531781000
1024,3,.536828000
1024,4,.533475000
1024,5,.526960000
2048,1,1.628774000
2048,2,1.588765000
2048,3,1.611316000
2048,4,1.660186000
2048,5,1.615360000
4096,1,5.929273000
4096,2,5.965138000
4096,3,6.155242000
4096,4,6.295161000
4096,5,6.208981000
